Date,Campaign name,Cost,Impressions,Clicks,Conversions
2026-04-22,B2B_Targeting_NL,24.61,2756,132,6
2026-04-17,B2B_Targeting_NL,24.84,2754,81,5
2026-04-13,B2B_Targeting_NL,24.89,3229,109,10
2026-04-06,B2B_Targeting_NL,25.1,2865,125,4
2026-04-21,B2B_Targeting_NL,25.46,3039,52,5
2026-04-07,B2B_Targeting_NL,25.77,2566,88,4
2026-04-04,B2B_Targeting_NL,25.81,2271,80,5
2026-04-23,B2B_Targeting_NL,27.82,1995,85,2
2026-04-12,B2B_Targeting_NL,28.09,3766,101,5
2026-04-16,B2B_Targeting_NL,28.16,2505,94,9
2026-04-14,B2B_Targeting_NL,28.88,3797,156,12
2026-04-05,B2B_Targeting_NL,30.01,2388,63,1
2026-04-19,B2B_Targeting_NL,31.2,3351,128,7
2026-04-20,B2B_Targeting_NL,31.21,3893,184,9
2026-04-11,B2B_Targeting_NL,31.43,4082,50,1
2026-04-15,B2B_Targeting_NL,32.13,4065,201,17
2026-04-08,B2B_Targeting_NL,32.25,3270,70,5
2026-04-09,B2B_Targeting_NL,32.26,2558,89,3
2026-04-03,B2B_Targeting_NL,32.31,2903,83,2
2026-04-18,B2B_Targeting_NL,32.46,3871,163,10
2026-04-10,B2B_Targeting_NL,32.76,3040,119,9
2026-04-19,Search_Seasonal_Promo,41.09,5799,277,10
2026-04-13,Search_Seasonal_Promo,41.19,4825,212,10
2026-04-05,Search_Seasonal_Promo,41.73,5792,282,5
2026-04-08,Search_Seasonal_Promo,42.02,5383,128,4
2026-04-12,Search_Seasonal_Promo,42.82,3179,59,1
2026-04-14,Search_Seasonal_Promo,44.47,4330,128,11
2026-04-09,Search_Seasonal_Promo,44.75,3290,63,4
2026-04-17,Search_Seasonal_Promo,45.04,2319,39,2
2026-04-18,Search_Seasonal_Promo,45.84,2897,29,2
2026-04-20,Search_Seasonal_Promo,46.23,2449,70,1
2026-04-21,Search_Seasonal_Promo,46.3,5638,63,2
2026-04-07,Search_Seasonal_Promo,46.34,3195,111,4
2026-04-11,Search_Seasonal_Promo,47.44,5979,192,8
2026-04-23,Search_Seasonal_Promo,49.01,2526,42,3
2026-04-10,Search_Seasonal_Promo,49.53,2978,115,5
2026-04-22,Search_Seasonal_Promo,50.66,7309,83,1
2026-04-15,Search_Seasonal_Promo,52.72,2932,135,12
2026-04-03,Search_Seasonal_Promo,53.52,5161,132,8
2026-04-16,Search_Seasonal_Promo,53.62,5299,129,12
2026-04-04,Search_Seasonal_Promo,53.74,7403,267,14
2026-04-06,Search_Seasonal_Promo,54.91,4901,186,5
2026-04-11,Display_Interest_Based,56.55,8131,89,5
2026-04-07,Display_Interest_Based,57.94,7478,313,28
2026-04-23,Display_Interest_Based,59.29,4493,102,4
2026-04-16,Display_Interest_Based,59.42,5662,67,1
2026-04-10,Display_Interest_Based,60.51,8880,151,7
2026-04-05,Display_Interest_Based,61.09,5297,102,2
2026-04-06,Display_Interest_Based,61.19,7984,391,10
2026-04-17,Display_Interest_Based,61.62,4174,90,6
2026-04-08,Display_Interest_Based,62.62,3400,128,5
2026-04-13,Display_Interest_Based,63.25,8716,158,14
2026-04-22,Display_Interest_Based,63.58,6633,156,11
2026-04-19,Display_Interest_Based,63.69,8305,111,10
2026-04-14,Display_Interest_Based,66.71,9200,303,21
2026-04-12,Display_Interest_Based,67.05,4735,157,9
2026-04-20,Display_Interest_Based,67.15,7251,213,13
2026-04-21,Display_Interest_Based,70.82,9073,178,12
2026-04-04,Display_Interest_Based,72.74,7411,247,22
2026-04-17,Performance_Max_Retail,73.02,3816,146,13
2026-04-10,Performance_Max_Retail,73.81,6104,242,22
2026-04-09,Display_Interest_Based,74.38,7989,167,14
2026-04-15,Display_Interest_Based,75.3,7988,200,13
2026-04-20,Performance_Max_Retail,75.67,4956,243,7
2026-04-18,Display_Interest_Based,75.81,5837,277,14
2026-04-03,Display_Interest_Based,76.26,4752,206,17
2026-04-07,Performance_Max_Retail,77.68,8582,308,17
2026-04-22,Performance_Max_Retail,77.88,6922,283,12
2026-04-18,Performance_Max_Retail,78.29,4104,127,4
2026-04-04,Performance_Max_Retail,80.7,6315,140,3
2026-04-14,Performance_Max_Retail,85.13,9848,271,10
2026-04-23,Performance_Max_Retail,86.27,4523,49,4
2026-04-11,Performance_Max_Retail,87.76,8798,410,9
2026-04-08,Performance_Max_Retail,87.8,4523,168,6
2026-04-06,Performance_Max_Retail,88.73,5563,185,12
2026-04-12,Performance_Max_Retail,91.03,9988,434,42
2026-04-16,Performance_Max_Retail,91.24,10123,303,6
2026-04-19,Performance_Max_Retail,91.41,8024,263,7
2026-04-13,Performance_Max_Retail,92.56,10305,103,9
2026-04-21,Performance_Max_Retail,94.47,10904,474,13
2026-04-15,Performance_Max_Retail,95.59,5172,108,3
2026-04-05,Performance_Max_Retail,97.01,7500,254,20
2026-04-09,Performance_Max_Retail,97.74,9290,378,11
2026-04-03,Performance_Max_Retail,98.31,14653,399,16
2026-04-12,Brand_Protection_FR,160.06,12161,474,43
2026-04-23,Brand_Protection_FR,160.61,12904,325,22
2026-04-16,Brand_Protection_FR,162.44,15941,587,56
2026-04-05,Brand_Protection_FR,163.25,16301,587,33
2026-04-17,Brand_Protection_FR,165.2,18253,832,17
2026-04-15,Brand_Protection_FR,178.73,25863,408,17
2026-04-10,Brand_Protection_FR,180.97,22191,979,36
2026-04-09,Brand_Protection_FR,184.05,16226,745,66
2026-04-22,Brand_Protection_FR,186.92,9526,412,8
2026-04-20,Brand_Protection_FR,190.98,25091,678,14
2026-04-07,Brand_Protection_FR,192.19,18707,591,38
2026-04-06,Brand_Protection_FR,194.91,24860,563,36
2026-04-13,Brand_Protection_FR,201.19,15874,593,37
2026-04-21,Brand_Protection_FR,202.51,28619,1382,40
2026-04-11,Brand_Protection_FR,206.05,20909,416,20
2026-04-18,Brand_Protection_FR,209.32,29699,849,28
2026-04-08,Brand_Protection_FR,209.47,25332,749,20
2026-04-04,Brand_Protection_FR,213.53,31834,1327,36
2026-04-14,Brand_Protection_FR,214.53,11575,249,18
2026-04-19,Brand_Protection_FR,216.66,25303,264,21
2026-04-03,Brand_Protection_FR,217.16,11393,199,17
