Date,Campaign name,Cost,Impressions,Clicks,Conversions
2026-04-11,Discovery_Lead_Gen,8.12,620,29,1
2026-04-20,Discovery_Lead_Gen,8.18,1169,30,2
2026-04-04,Discovery_Lead_Gen,8.19,904,27,1
2026-04-15,Discovery_Lead_Gen,8.31,1154,48,4
2026-04-17,Discovery_Lead_Gen,8.35,768,9,0
2026-04-23,Discovery_Lead_Gen,8.6,993,29,0
2026-04-18,Discovery_Lead_Gen,8.81,1188,34,3
2026-04-07,Discovery_Lead_Gen,8.85,1183,27,0
2026-04-06,Discovery_Lead_Gen,8.88,1251,62,2
2026-04-14,Discovery_Lead_Gen,8.92,718,14,0
2026-04-22,Discovery_Lead_Gen,9.25,857,20,1
2026-04-08,Discovery_Lead_Gen,9.52,1061,44,3
2026-04-05,Discovery_Lead_Gen,10.28,553,24,0
2026-04-21,Discovery_Lead_Gen,10.41,861,19,0
2026-04-19,Discovery_Lead_Gen,10.54,921,38,0
2026-04-09,Discovery_Lead_Gen,10.57,679,21,0
2026-04-12,Discovery_Lead_Gen,10.62,1010,14,0
2026-04-13,Discovery_Lead_Gen,10.75,688,19,0
2026-04-16,Discovery_Lead_Gen,10.9,945,17,0
2026-04-10,Discovery_Lead_Gen,10.91,964,12,0
2026-04-03,Discovery_Lead_Gen,10.98,1217,35,1
2026-04-23,App_Install_Campaign,20.22,1210,28,1
2026-04-05,App_Install_Campaign,20.47,2731,89,7
2026-04-16,App_Install_Campaign,21.11,2810,118,8
2026-04-20,App_Install_Campaign,21.12,1390,38,1
2026-04-22,App_Install_Campaign,21.28,1736,59,2
2026-04-06,App_Install_Campaign,21.32,2733,118,8
2026-04-14,App_Install_Campaign,21.36,1888,39,2
2026-04-07,App_Install_Campaign,22.11,1111,32,1
2026-04-15,App_Install_Campaign,22.54,3363,92,7
2026-04-04,App_Install_Campaign,22.8,3108,38,3
2026-04-09,App_Install_Campaign,23.05,1696,40,2
2026-04-10,App_Install_Campaign,23.88,3442,134,9
2026-04-12,App_Install_Campaign,23.9,3096,69,3
2026-04-21,App_Install_Campaign,23.9,1970,51,2
2026-04-11,App_Install_Campaign,24.12,1615,55,2
2026-04-18,App_Install_Campaign,24.2,3316,90,2
2026-04-13,App_Install_Campaign,24.97,1300,19,0
2026-04-03,App_Install_Campaign,25.35,2876,109,2
2026-04-17,App_Install_Campaign,26.15,2940,47,1
2026-04-08,App_Install_Campaign,26.52,1385,41,2
2026-04-19,App_Install_Campaign,27.44,3936,49,3
2026-04-14,Search_High_Intent,44.83,5955,259,10
2026-04-11,Search_High_Intent,46.51,3132,121,9
2026-04-05,Search_High_Intent,47.68,4039,127,8
2026-04-09,Search_High_Intent,48.02,6730,169,6
2026-04-20,Search_High_Intent,49.49,3271,63,5
2026-04-13,Search_High_Intent,51.33,5402,236,6
2026-04-19,Search_High_Intent,51.6,4772,192,11
2026-04-07,Search_High_Intent,51.63,3714,37,2
2026-04-06,Search_High_Intent,51.77,6214,136,7
2026-04-16,Search_High_Intent,51.94,3954,179,7
