Date,Campaign name,Cost,Impressions,Clicks,Conversions
2026-04-22,Expansion_Germany_Search,20.13,1276,26,2
2026-04-07,Expansion_Germany_Search,21.09,2642,112,11
2026-04-05,Expansion_Germany_Search,21.46,2819,133,10
2026-04-15,Expansion_Germany_Search,21.79,3012,98,4
2026-04-23,Expansion_Germany_Search,21.99,1317,47,3
2026-04-10,Expansion_Germany_Search,22.08,2220,31,1
2026-04-09,Expansion_Germany_Search,22.35,2070,23,0
2026-04-08,Expansion_Germany_Search,22.71,1758,38,0
2026-04-16,Expansion_Germany_Search,22.8,3111,101,7
2026-04-20,Expansion_Germany_Search,23.2,2890,58,1
2026-04-18,Expansion_Germany_Search,23.5,2819,98,5
2026-04-11,Expansion_Germany_Search,23.79,2822,30,1
2026-04-12,Expansion_Germany_Search,23.9,1281,59,2
2026-04-06,Expansion_Germany_Search,24.02,1960,69,2
2026-04-19,Expansion_Germany_Search,24.65,2636,101,6
2026-04-21,Expansion_Germany_Search,25.05,2828,59,4
2026-04-17,Expansion_Germany_Search,25.07,1518,40,2
2026-04-14,Expansion_Germany_Search,25.22,2672,93,3
2026-04-04,Expansion_Germany_Search,25.58,3714,60,1
2026-04-13,Expansion_Germany_Search,26.32,2196,22,2
2026-04-03,Expansion_Germany_Search,27.38,3550,80,5
2026-04-17,Expansion_Netherlands_Search,33.31,1901,66,3
2026-04-23,Expansion_Netherlands_Search,33.87,4078,193,11
2026-04-15,Expansion_Netherlands_Search,34.24,3752,173,14
2026-04-16,Expansion_Netherlands_Search,34.41,2384,86,4
2026-04-05,Expansion_Netherlands_Search,34.6,4376,188,14
2026-04-04,Expansion_Netherlands_Search,34.67,4650,183,9
2026-04-10,Expansion_Netherlands_Search,34.89,2173,79,1
2026-04-14,Expansion_Netherlands_Search,35.13,2418,108,7
2026-04-03,Expansion_Netherlands_Search,35.56,5037,140,12
2026-04-12,Expansion_Netherlands_Search,35.69,4942,193,7
2026-04-22,Expansion_Netherlands_Search,36.77,3997,172,6
2026-04-18,Expansion_Netherlands_Search,37.92,4684,220,7
2026-04-20,Expansion_Netherlands_Search,38.64,4998,122,11
2026-04-13,Expansion_Netherlands_Search,39.89,3777,140,10
2026-04-09,Expansion_Netherlands_Search,42.12,3914,54,1
2026-04-11,Expansion_Netherlands_Search,42.12,3844,183,12
2026-04-21,Expansion_Netherlands_Search,42.13,5316,264,13
2026-04-06,Expansion_Netherlands_Search,42.22,5497,244,10
2026-04-19,Expansion_Netherlands_Search,42.63,5730,120,6
2026-04-08,Expansion_Netherlands_Search,43.44,5560,245,20
2026-04-07,Expansion_Netherlands_Search,43.49,5831,210,13
2026-04-22,Mid_Funnel_Display,52.91,3000,79,5
2026-04-13,Mid_Funnel_Display,53.02,7597,103,9
2026-04-12,Mid_Funnel_Display,53.04,5852,97,4
2026-04-05,Mid_Funnel_Display,55.21,4746,109,6
2026-04-17,Mid_Funnel_Display,57.0,5017,89,5
2026-04-18,Mid_Funnel_Display,57.87,4990,206,17
2026-04-09,Mid_Funnel_Display,59.44,4450,218,8
2026-04-04,Mid_Funnel_Display,60.04,4941,173,14
2026-04-16,Mid_Funnel_Display,60.52,8006,372,27
2026-04-08,Mid_Funnel_Display,62.39,4041,122,7
2026-04-14,Mid_Funnel_Display,63.41,3777,168,7
2026-04-15,Mid_Funnel_Display,63.59,5320,135,7
2026-04-21,Mid_Funnel_Display,64.62,5179,158,3
2026-04-23,Mid_Funnel_Display,64.86,3462,58,2
2026-04-03,Mid_Funnel_Display,65.3,4814,185,8
2026-04-06,Mid_Funnel_Display,66.32,7506,236,9
2026-04-10,Mid_Funnel_Display,66.61,7902,257,16
2026-04-07,Mid_Funnel_Display,66.94,8642,378,36
2026-04-11,Mid_Funnel_Display,67.87,5930,179,12
2026-04-06,YouTube_InStream_Action,68.24,3748,88,6
2026-04-15,YouTube_InStream_Action,68.65,4373,151,10
2026-04-16,YouTube_InStream_Action,69.02,9105,416,10
2026-04-03,YouTube_InStream_Action,70.04,9936,390,31
2026-04-19,Mid_Funnel_Display,70.36,5939,220,14
2026-04-20,Mid_Funnel_Display,70.71,4198,107,9
2026-04-10,YouTube_InStream_Action,71.81,6652,204,17
2026-04-07,YouTube_InStream_Action,72.76,5979,113,8
2026-04-22,YouTube_InStream_Action,75.07,10275,283,25
2026-04-13,YouTube_InStream_Action,76.56,4923,207,11
2026-04-04,YouTube_InStream_Action,76.81,8809,100,7
2026-04-09,YouTube_InStream_Action,77.74,9833,224,8
2026-04-20,YouTube_InStream_Action,79.62,11189,229,17
2026-04-23,YouTube_InStream_Action,80.13,5674,236,9
2026-04-14,YouTube_InStream_Action,83.75,4986,60,5
2026-04-12,YouTube_InStream_Action,84.51,6322,153,12
2026-04-17,YouTube_InStream_Action,85.96,11907,296,13
2026-04-08,YouTube_InStream_Action,86.44,8447,166,16
2026-04-05,YouTube_InStream_Action,87.43,6183,267,7
2026-04-21,YouTube_InStream_Action,89.88,13165,386,12
2026-04-18,YouTube_InStream_Action,90.2,12759,259,16
2026-04-19,Retargeting_Abandoned_Cart,90.82,8686,368,7
2026-04-11,YouTube_InStream_Action,91.41,9578,266,14
2026-04-13,Retargeting_Abandoned_Cart,91.45,11511,215,5
2026-04-19,YouTube_InStream_Action,92.08,9233,344,6
2026-04-18,Retargeting_Abandoned_Cart,94.17,7693,122,11
2026-04-21,Retargeting_Abandoned_Cart,95.52,11199,303,20
2026-04-22,Retargeting_Abandoned_Cart,97.03,10088,473,31
2026-04-20,Retargeting_Abandoned_Cart,97.74,10442,404,20
2026-04-12,Retargeting_Abandoned_Cart,99.28,11181,436,40
2026-04-10,Retargeting_Abandoned_Cart,99.57,10410,241,21
2026-04-16,Retargeting_Abandoned_Cart,102.19,10898,385,12
2026-04-15,Retargeting_Abandoned_Cart,102.5,14774,624,54
2026-04-06,Retargeting_Abandoned_Cart,106.16,15664,606,51
2026-04-11,Retargeting_Abandoned_Cart,106.73,12047,137,3
2026-04-03,Retargeting_Abandoned_Cart,108.61,13793,496,27
2026-04-05,Retargeting_Abandoned_Cart,110.66,15609,226,16
